devicetype	sum	nodirlist	dirlistgt5	one
40	4171112	45007	86692	131699
61	10658	1	3	4
72	759	282	6	288
20	742148	22001	267150	289019
11	11446581	195622	6854422	7050044
	1387390	1319667	133	1319800
12	293324	88477	35304	123781
44	390797	484	211594	212078
43	4165	0	0	0
62	57726	18	271	289
26	9578	537	240	770
27	37154	10131	265	10396
70	9319	479	1449	1928
30	6637	439	61	500
16	61498	61495	0	61495
81	2004	102	1167	1269
24	2857	228	54	282
MI	384	384	0	384
90	1053632	300072	38519	329725
63	177403	920	24	944
10	29157894	2024757	15230897	17255654
25	414	211	0	211
22	319001	483	308790	309273
50	2408	0	1	1
80	16474	16455	1	16456
13	20001	20001	0	20001
59	10	10	0	10
21	650835	4623	603863	608486
41	176778	2670	5069	7739
99	1957	1597	0	1597
53	1	1	0	1
83	37	1	0	1
23	63649	10240	1415	11655
71	61492	26357	59	26416
64	1288	2	444	446
52	7915	0	0	0
82	153505	13	153407	153420
60	182091	5036	1234	6270
14	613369	205149	0	205149
58	2	2	0	2
32	70715	0	194	194
42	170940	30465	1	30465
31	3422	3102	97	3199
MM	12	12	0	12
15	53749	20315	0	20315
51	1076	3	0	3
